Backend,Gate Label,Qubit A,Qubit B,Lambda (1 - error rate)
ibm_sherbrooke,ecr117_118,117,118,0.9918433703100471
ibm_sherbrooke,ecr63_62,63,62,0.9952636531252038
ibm_sherbrooke,ecr4_3,4,3,0.996136993909054
ibm_sherbrooke,ecr33_39,33,39,0.9951434539840011
ibm_sherbrooke,ecr59_58,59,58,0.9929525720449622
ibm_sherbrooke,ecr69_68,69,68,0.9917463549040223
ibm_sherbrooke,ecr124_123,124,123,0.9931676115776598
ibm_sherbrooke,ecr101_100,101,100,0.9939944823849267
ibm_sherbrooke,ecr95_96,95,96,0.9913558970806697
ibm_sherbrooke,ecr106_105,106,105,0.9940759294854975
ibm_sherbrooke,ecr10_9,10,9,0.9918052498876269
ibm_sherbrooke,ecr111_104,111,104,0.9932374530625117
ibm_sherbrooke,ecr47_46,47,46,0.9968104570986193
ibm_sherbrooke,ecr63_64,63,64,0.9939073712871327
ibm_sherbrooke,ecr6_5,6,5,0.9943334694188877
ibm_sherbrooke,ecr71_77,71,77,0.9934164844975568
ibm_sherbrooke,ecr43_42,43,42,0.9862445496096475
ibm_sherbrooke,ecr59_60,59,60,0.991755628133588
ibm_sherbrooke,ecr69_70,69,70,0.993963769440589
ibm_sherbrooke,ecr35_47,35,47,0.9949736068742819
ibm_sherbrooke,ecr101_102,101,102,0.9923448536537893
ibm_sherbrooke,ecr80_79,80,79,0.9920786327368365
ibm_sherbrooke,ecr34_24,34,24,0.9911757215346426
ibm_sherbrooke,ecr10_11,10,11,0.9957675248461141
ibm_sherbrooke,ecr66_65,66,65,0.9951268593037748
ibm_sherbrooke,ecr54_45,54,45,0.9863113015161609
ibm_sherbrooke,ecr37_38,37,38,0.974275942951813
ibm_sherbrooke,ecr102_103,102,103,0.993604380870645
ibm_sherbrooke,ecr92_102,92,102,0.9737270937726603
ibm_sherbrooke,ecr7_6,7,6,0.9918983871428115
ibm_sherbrooke,ecr67_66,67,66,0.9887694826778008
ibm_sherbrooke,ecr43_44,43,44,0.9956799064277546
ibm_sherbrooke,ecr22_15,22,15,0.9932425395217326
ibm_sherbrooke,ecr104_103,104,103,0.9948262188451524
ibm_sherbrooke,ecr122_111,122,111,0.9846869271158434
ibm_sherbrooke,ecr40_39,40,39,0.9843449544606182
ibm_sherbrooke,ecr68_55,68,55,0.9876956807972134
ibm_sherbrooke,ecr11_12,11,12,0.9955738170361867
ibm_sherbrooke,ecr110_100,110,100,0.9932376106303784
ibm_sherbrooke,ecr45_44,45,44,0.9907189696663647
ibm_sherbrooke,ecr7_8,7,8,0.9909230593166709
ibm_sherbrooke,ecr53_60,53,60,0.9917964193733537
